1,3-1,阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],
2,3-2,啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent",
3,5-3,唉,ai1,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",
4,3-3,矮,ai3,low; short (in length),
5,1-1,爱,ai4,to love; affection; to be fond of; to like,
6,3-5,爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],
7,5-7,爱护,ai4 hu4,to cherish; to treasure; to take care of; to love and protect,
8,4-6,爱情,ai4 qing2,romance; love (romantic); CL:個|个[ge4],
9,5-9,爱惜,ai4 xi1,to cherish; to treasure; to use sparingly,
10,5-10,爱心,ai4 xin1,compassion; CL:片[pian4],
11,3-6,安静,an1 jing4,quiet; peaceful; calm,
12,4-8,安排,an1 pai2,to arrange; to plan; to set up,
13,4-9,安全,an1 quan2,safe; secure; safety; security,
14,5-14,安慰,an1 wei4,to comfort; to console; CL:個|个[ge4],
15,5-15,安装,an1 zhuang1,install; erect; fix; mount; installation,
16,5-16,岸,an4,bank; shore; beach; coast; CL:個|个[ge4],
17,4-10,暗,an4,dark; gloomy; hidden; secret; muddled; obscure; in the dark,
18,4-11,按时,an4 shi2,on time; before deadline; on schedule,
19,4-12,按照,an4 zhao4,according to; in accordance with; in the light of; on the basis of,
20,1-2,八,ba1,eight; 8,
21,3-8,把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,
22,5-22,把握,ba3 wo4,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),
23,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",
24,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,
25,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,
26,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,
27,5-27,摆,bai3,to arrange; to exhibit; to move to and fro; a pendulum,
28,3-13,搬,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,
29,3-14,班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],
30,5-30,班主任,ban1 zhu3 ren4,a teacher in charge of a class,
31,3-15,半,ban4,half; semi-; incomplete; (after a number) and a half,
32,3-16,办法,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",
33,3-17,办公室,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1],
34,5-34,办理,ban4 li3,to handle; to transact; to conduct,
35,3-18,帮忙,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn,
36,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,
37,5-37,棒,bang4,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,
38,5-38,傍晚,bang4 wan3,in the evening; when night falls; towards evening; at night fall; at dusk,
39,3-20,包,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",
40,5-40,包裹,bao1 guo3,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4],
41,5-41,包含,bao1 han2,to contain; to embody; to include,
